GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2
 "00000",United States, ,SQINC7N,50,...,"Wages and salaries by place of work (thousands of dollars, seasonally adjusted)",Thousands of dollars,7738364000,7823028000,7895424000,7950392000,7983808000,8029408000,8108868000,8203040000,8299840000,8391132000,8506592000,8652876000,8746888000,8826688000,8953804000,9011352000,9219864000,9266272000,9302764000,9414344000,9517190000,8832588000
 "00000",United States, ,SQINC7N,81,111-112, Farm wages and salaries,Thousands of dollars,23028000,22588000,22456000,22640000,23136000,23636000,24144000,24660000,25180000,25404000,25332000,24964000,24300000,23816000,23508000,23392000,23452000,23652000,23992000,24472000,25094000,25525000
 "00000",United States, ,SQINC7N,82,..., Nonfarm wages and salaries,Thousands of dollars,7715336000,7800440000,7872968000,7927752000,7960672000,8005772000,8084724000,8178380000,8274660000,8365728000,8481260000,8627912000,8722588000,8802872000,8930296000,8987960000,9196412000,9242620000,9278772000,9389872000,9492096000,8807063000
 "00000",United States, ,SQINC7N,90,113-814,  Private nonfarm wages and salaries,Thousands of dollars,6469696000,6545112000,6610604000,6659192000,6684636000,6721776000,6789428000,6876188000,6962220000,7044824000,7147912000,7280752000,7362016000,7428884000,7537892000,7584892000,7784552000,7820788000,7840400000,7941080000,8031275000,7405665000
 "00000",United States, ,SQINC7N,100,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,17772000,17536000,18784000,18308000,19480000,18992000,19216000,19688000,19724000,19912000,20144000,20328000,20744000,20716000,21016000,21208000,21476000,21960000,22160000,22776000,23019000,18543000
 "00000",United States, ,SQINC7N,200,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,84704000,78860000,76016000,72964000,67648000,62732000,61312000,61192000,62020000,62860000,64840000,66300000,68968000,70144000,71400000,71872000,75704000,73532000,72900000,70912000,70120000,62617000
 "00000",United States, ,SQINC7N,300,22,   Utilities,Thousands of dollars,56948000,57096000,57824000,57876000,57280000,57792000,58372000,59496000,60180000,60340000,60700000,61172000,61604000,61948000,62072000,62972000,63368000,63316000,63520000,64620000,65315000,66316000
 "00000",United States, ,SQINC7N,400,23,   Construction,Thousands of dollars,369276000,377776000,383456000,392332000,397260000,404188000,410056000,418512000,425964000,431960000,441236000,449616000,461432000,465448000,473024000,479640000,494816000,498984000,501936000,505696000,511031000,473798000
 "00000",United States, ,SQINC7N,500,31-33,   Manufacturing,Thousands of dollars,802568000,805560000,809972000,810332000,809272000,809820000,814556000,822188000,830748000,840684000,848788000,863072000,877576000,874396000,887504000,894796000,908720000,910928000,903928000,917456000,913828000,825786000
 "00000",United States, ,SQINC7N,510,"321,327-339",    Durable goods manufacturing,Thousands of dollars,532684000,534008000,535372000,534256000,535008000,534556000,537836000,542084000,547780000,556196000,560992000,573572000,583416000,584424000,593172000,598008000,608364000,608360000,601820000,613916000,607289000,538684000
 "00000",United States, ,SQINC7N,530,"311-316,322-326",    Nondurable goods manufacturing,Thousands of dollars,269884000,271552000,274600000,276076000,274264000,275264000,276720000,280104000,282968000,284488000,287796000,289500000,294160000,289972000,294332000,296788000,300356000,302568000,302108000,303540000,306539000,287102000
 "00000",United States, ,SQINC7N,600,42,   Wholesale trade,Thousands of dollars,437624000,440120000,439408000,437396000,437120000,439788000,442172000,446224000,451440000,455496000,459740000,462764000,462992000,463316000,467200000,467888000,482776000,480900000,480284000,482352000,489391000,467665000
 "00000",United States, ,SQINC7N,700,44-45,   Retail trade,Thousands of dollars,472688000,478036000,485980000,490388000,490404000,491620000,494688000,501644000,506376000,506532000,512180000,517072000,523672000,527348000,529368000,529352000,536456000,540708000,540996000,545008000,551737000,505402000
 "00000",United States, ,SQINC7N,800,48-49,   Transportation and warehousing,Thousands of dollars,254540000,257404000,261156000,264024000,263200000,264292000,268636000,274116000,278168000,281708000,286156000,289484000,298264000,301796000,308384000,314540000,323816000,326184000,331684000,335192000,337721000,308422000
 "00000",United States, ,SQINC7N,900,51,   Information,Thousands of dollars,260928000,266108000,269544000,271808000,274620000,276908000,282368000,289060000,293584000,294692000,297560000,314192000,310452000,323404000,334728000,330264000,341760000,345680000,342388000,351620000,359560000,342605000
